상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
B,1108105034,경상남도 양산시 물금읍 제방로 27-6,7950,0,7950,물류시설법,타이어,35.2930684,129.0102554
B,1108105034,경기도 고양시 일산동구 성현로 615 (사리현동),1172.16,0,1172.16,물류시설법,택배,37.6949674,126.849573
B,1108105034,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-124 (효자동3가),1229.25,0,1229.25,물류시설법,택배터미널,35.8245566,127.0883907
B,1108105034,인천광역시 동구 보세로 74 (만석동),3752.06,0,3752.06,물류시설법,건기자재,37.4871267,126.6148932
B,1108105034,경상남도 창원시 진해구 행암로92번안길 30 (장천동),3276,0,3276,물류시설법,수출입화물 야적 및 수입소금등 창고보관,35.1300457,128.6977214
B,1108105034,충청남도 계룡시 두마면 사계로 206,16906.23,0,16906.23,물류시설법,공산품,36.2595184,127.2770129
B,1108105034,전라남도 광양시 태인4길 33 (태인동),5987.62,0,5987.62,물류시설법,코일 등,34.9430625,127.7618767
B,1108105034,"인천광역시 중구 공항동로296번길 98-114, B1블럭동 A209호 (운서동, 자유무역지역 공항물류단지 )",2543.35,0,2543.35,물류시설법,보세화물,37.4771445,126.4810851
B,1108105034,경기도 용인시 처인구 원삼면 미평로 84,3074,0,3074,물류시설법,택배소화물,37.184178,127.3263995
B,1108105034,경기도 용인시 처인구 백암면 고안로51번길 136-11,10793,0,10793,물류시설법,어패럴,37.1407305,127.41384
B,1108105034,경기도 용인시 기흥구 기곡로 32 (하갈동),1352,0,1352,물류시설법,"식품류, 주방세제 등",37.2498223,127.0972946
B,1108105034,경기도 용인시 처인구 원삼면 미평로81번길 2,6096,0,6096,물류시설법,택배소화물,37.1827802,127.3276208
B,1108105034,경기도 시흥시 희망공원로 117 (정왕동),7593,0,7593,물류시설법,"자동차부품, 택배물품",37.3345025,126.7143013
B,1108105034,경기도 양주시 평화로1597번길 41-1 (회정동),4517,0,4517,물류시설법,의류,37.831864,127.0491299
B,1108105034,경상북도 경산시 압량면 압량길 11,5208.08,3178.02,8386.1,물류시설법,음료 및 식품류,35.8476266,128.7662355
B,1108105034,대구광역시 동구 금호강변로 57 (용계동),4984.98,0,4984.98,물류시설법,택배물품(홈쇼핑상품),35.8753054,128.6946198
