상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
B,1108105034,"인천광역시 중구 공항동로296번길 98-114, B1블럭동 A209호 (운서동, 자유무역지역 공항물류단지 )",2543.35,0,물류시설법,보세화물,37.4771445,126.4810851
B,1108105034,경기도 용인시 처인구 원삼면 미평로 84,3074,0,물류시설법,택배소화물,37.184178,127.3263995
B,1108105034,경기도 용인시 처인구 백암면 고안로51번길 136-11,10793,0,물류시설법,어패럴,37.1407305,127.41384
B,1108105034,경기도 용인시 기흥구 기곡로 32 (하갈동),1352,0,물류시설법,"식품류, 주방세제 등",37.2498223,127.0972946
B,1108105034,경기도 용인시 처인구 원삼면 미평로81번길 2,6096,0,물류시설법,택배소화물,37.1827802,127.3276208
B,1108105034,경기도 시흥시 희망공원로 117 (정왕동),7593,0,물류시설법,"자동차부품, 택배물품",37.3345025,126.7143013
B,1108105034,경기도 양주시 평화로1597번길 41-1 (회정동),4517,0,물류시설법,의류,37.831864,127.0491299
B,1108105034,경상북도 경산시 압량면 압량길 11,5208.08,3178.02,물류시설법,음료 및 식품류,35.8476266,128.7662355
B,1108105034,대구광역시 동구 금호강변로 57 (용계동),4984.98,0,물류시설법,택배물품(홈쇼핑상품),35.8753054,128.6946198
B,1108105034,"경기도 군포시 번영로 82 (부곡동, 한국복합물류(주))",6952.09,0,물류시설법,타이어,37.331912,126.9306081
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A,B,I,J동 (부곡동)",64376,0,물류시설법,생활잡화류,37.3309195,126.9371945
B,1108105034,경기도 남양주시 수동면 비룡로 940,5542,0,물류시설법,타이어,37.7183399,127.3169545
B,1108105034,경기도 남양주시 진건읍 진건오남로 414,2000,0,물류시설법,택배제품,37.6733704,127.2030643
B,1108105034,경기도 용인시 기흥구 원고매로2번길 29 (고매동),2560.8,0,물류시설법,"4,881.08",37.2202126,127.1050411
B,1108105034,경기도 광주시 경충대로 1802 (장지동),1089,0,물류시설법,택배소화물,37.402922,127.2393909
B,1108105034,경기도 수원시 영통구 삼성로 318 (원천동),1262,0,물류시설법,생활용품등,37.2672426,127.0680109
B,1108105034,경기도 광주시 경충대로 2056 (중대동),5964.35,0,물류시설법,택배물품,37.4054185,127.2178645
B,1108105034,서울특별시 금천구 가산디지털2로 156 (가산동),13968,0,물류시설법,택배화물,37.4818717,126.8787739
B,1108105034,경기도 수원시 영통구 삼성로 318 (원천동),4892.5,0,물류시설법,"도서, 생활용품등",37.2672426,127.0680109
B,5158100928,경기도 이천시 호법면 덕평로581번길 10 (CJ물류센터),58551,0,물류시설법,"식품, 화장품",37.2149618,127.3769377
B,1108105034,대구광역시 달서구 성서공단로 235 (장동),2049.44,0,물류시설법,택배물품,35.8363539,128.5082023
B,1108105034,경기도 여주시 가남읍 여주남로 782,15206.6,0,물류시설법,"의류, 스포츠용품",37.2367888,127.5709059
B,1108105034,경상남도 창원시 마산회원구 무역로 95 (봉암동),3329.23,0,물류시설법,"기계류,가전제품",35.2113178,128.5972012
B,1108105034,경상남도 창원시 진해구 천자로 278 (장천동),3985.93,0,물류시설법,택배화물,35.128269,128.7123709
B,1108105034,경상북도 칠곡군 가산면 다부거문1길 14,3495,0,물류시설법,타이어,36.0440556,128.520588
B,1108105034,충청북도 청주시 서원구 남이면 청남로 898,4123,0,물류시설법,제과류,36.5328077,127.4275332
B,1108105034,충청북도 청주시 서원구 남이면 연청로 1263-16,19629,0,물류시설법,택배소화물,36.5326857,127.4122029
B,1108105034,"전북특별자치도 군산시 외항안길 174, 대한통운  (소룡동)",11143.2,0,물류시설법,벌크화물,35.9687217,126.6189045
B,1108105034,강원특별자치도 원주시 서원대로 308-6 (명륜동),1596,0,물류시설법,식품,37.3402374,127.939405
B,1108105034,"세종특별자치시 부강면 연청로 745-46, (중부복합물류터미널 6동 배송센터)",4519.03,0,물류시설법,타이어,36.5424903,127.3584883
B,1108105034,강원특별자치도 원주시 호저면 호매곡1길 97,2764,0,물류시설법,타이어,37.3949528,127.9268566
B,1108105034,강원특별자치도 원주시 흥업면 원문로 898,2430.08,0,물류시설법,"화장품, 기타잡화",37.343288,127.8826568
